lat;lon;sogn;name;branch;coords
56,1664058;10,1237904;helligaands;LOOP;Bredskiftevej 20a, 8210 Aarhus;56.1664058,10.1237904
56,2754851;1,0313322;skoedstrup;EasyFit;A, Grenåvej 748, 8541 Skødstrup;56.2754851,10.313322
56,2702464;10,3076107;skoedstrup;LOOP;Rosenbakken 1, 8541 Skødstrup;56.2702464,10.3076107
5,6253027;10,1436253;trige;Trige Fitness;Smedebroen 13, 8380 Trige;56.253027,10.1436253
56,1601562;9,9934514;elsted;Flow Fitness;Bystævnet 1, 8520 Lystrup;56.1601562,9.9934514
56,2311449;10,2389078;lystrup;LOOP;Møgelgårdsvej 8B, 8520 Lystrup;56.2311449,10.2389078
56,2282513;10,2338116;lystrup;Fitness Lystrup;Bremårevej 15, 8520 Lystrup;56.2282513,10.2338116
56,2014898;0,1024233;ellevang;Fitness World;Ravnsøvej 58, 8240 Risskov;56.2014898,10.24233
5,6202456;10,2450243;ellevang;LOOP;Ravnsøvej 15, 8240 Risskov;56.202456,10.2450243
56,1877932;10,2361256;risskov;Motion & Trivsel Risskov;Rolighedsvej 30-32, 8240 Risskov;56.1877932,10.2361256
56,1661812;10,2264044;aarhus domsogn;SeierFitness;Mariane Thomsens Gade 2F, 1. sal, 8000 Aarhus;56.1661812,10.2264044
5,6170753;10,2099612;sankt johannes;Fitness World;Niels Juels Gade 84, 8200 Aarhus;56.170753,10.2099612
56,1510767;10,212863;aarhus domsogn;Arca;Mindet 6, 8000 Aarhus;56.1510767,10.2128629
56,1529069;10,1946692;vor frue;Fitness World;Margrethepladsen 4, 8000 Aarhus;56.1529069,10.1946692
56,1560332;10,1786402;vor frue;Infitness;Silkeborgvej 41, 8000 Aarhus;56.1560332,10.1786402
56,1554065;10,1766773;vor frue;CoreBalance;Karupvej 7, 8000 Aarhus;56.1554065,10.1766773
56,1558239;10,1753723;vor frue;ProRepubliQ;Silkeborgvej 51, 8000 Aarhus;56.1558239,10.1753723
56,1537045;10,1766022;aaby;Arca, Spartan Mentality;Søren Frichs Vej 34C, 8230 Aarhus;56.1537045,10.1766022
56,1516648;10,1711938;aaby;LOOP;Søren Frichs Vej 44, 8230 Aarhus;56.1516648,10.1711938
56,1480793;10,1878832;sankt lukas;Fitness X;Ankersgade 12, 8000 Aarhus;56.1480793,10.1878832
56,1489043;10,2041289;sankt pauls;DGI-huset;Værkmestergade 17, 8000 Aarhus;56.1489043,10.2041289
5,6126122;10,1548262;viby;LOOP;Skanderborgvej 224B, 8260 Viby J;56.126122,10.1548262
5,6118895;10,1881594;holme;Fit&Sund;Saralyst Alle 40, 8270 Højbjerg;56.118895,10.1881594
56,1123836;10,1905589;holme;H›jbjerg-Lyseng Foreningsfitness;Lysengvej 4, 8270 Højbjerg;56.1123836,10.1905589
5,6099917;10,2049553;skaade;Sport og fitness H›jbjerg;Oddervej 202, 8270 Højbjerg;56.099917,10.2049553
56,0587128;10,2037967;beder;LOOP;Kirkebakken 4, 8330 Beder;56.0587128,10.2037967
5,6048377;10,1968143;malling;Bmi Fitness;Bredgade 5, 8340 Malling;56.048377,10.1968143
56,0382843;1,0077707;tiset;Fit&Sund;Solbjerg Hovedgade 90B, 8355 Solbjerg;56.0382843,10.077707
56,0950506;10,1265529;tranbjerg;LOOP;Børupvej 3, 8310 Tranbjerg;56.0950506,10.1265529
56,1070326;10,0885711;kolt;KHIF Fitness;Koltvej 45, 8361 Hasselager;56.1070326,10.0885711
56,1278242;10,1144365;ormslev;Sport og fitness Stavstrup;Ormslevvej 271 E, 8260 Viby J;56.1278242,10.1144365
56,1529854;10,1000543;brabrand;EasyFit;Hovedgaden 59, 8220 Brabrand;56.1529854,10.1000543
56,1511641;9,9953918;framlev;Harlev Motion;Lilleringvej 6, 8462 Aarhus;56.1511641,9.9953918
56,2105799;10,0246885;sabro;Sabro IF Fitness;Damvej 110B, 8471 Sabro;56.2105799,10.0246885
5,6157988;10,1893873;sankt markus;Tr‘ningsstudiet;Viborgvej 3, 8000 Aarhus C;56.157988,10.1893873
5,6172815;10,1523163;helligaands;Fortius Fitness;Sommervej 19, 8210 Aarhus;56.172815,10.1523163
56,1728608;10,1194855;hasle;Fitness World;Viborgvej 155, 8210 Aarhus V;56.1728608,10.1194855
5,6068732;1,0152805;maarslet;TGM Motion;Testrupvej 6, 8320 Mårslet;56.068732,10.152805
5,6156088;10,1418629;aaby;Power House;Elkjærvej 2, 8230 Aarhus;56.156088,10.1418629
5,6154522;10,1570004;aaby;Performance gym PT;Silkeborgvej 285, 8230 Aarhus;56.154522,10.1570004
56,1445394;10,1379186;aaby;CrossFit Aros;Tomsagervej 16, 8000 Aarhus;56.1445394,10.1379186
56,1548064;10,1795345;vor frue;b:fit by Zeenta;Finderupvej 3, 8000 Aarhus;56.1548064,10.1795345
